Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.063,59.49409756,59.91668293,60.32826829,60.72382927,61.09934146,61.45382927,61.7847561,62.09363415,62.37995122,62.64470732,62.88890244,63.1144878,63.33092683,63.5467561,63.76787805,64.0014878,64.25395122,64.52619512,64.82082927,65.13856098,65.4824878,65.85092683,66.2292439,66.59136585,66.91526829,67.178,67.35907317,52.60012195,67.51856098,67.54936585,67.62704878,67.71853659,67.97319512,68.27180488,68.6284878,69.00612195,69.39382927,69.79934146,70.19895122,72.8804878,72.97560976,72.82682927,72.82682927,73.02682927,73.07560976,72.82439024,72.87317073,73.07317073,73.07317073,73.17317073,73.81707317,74.1195122,74.62195122,74.87317073,74.87073171,74.86829268,75.21707317,75.6195122,76.22195122,73.37560976,72.27804878,74.76585366,77.46585366,
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.053,65.648,66.008,66.161,66.135,65.996,58.284,65.807,65.847,66.05,66.364,66.77,67.186,67.604,67.95,68.256,68.475,68.701,68.881,69.114,69.413,69.731,69.975,70.163,70.326,70.532,70.704,70.828,70.883,70.929,71.107,71.312,71.511,71.54,71.569,71.565,71.576,71.606,71.542,71.484,71.443,71.573,71.755,71.698,72.277,72.382,72.397,72.365,72.43,70.839,72.587,72.662,72.709,72.769,72.687,72.654,72.64,72.801,72.794,72.751,72.672,72.708,72.752,72.852,
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.635,63.335,63.995,64.697,65.428,66.171,66.902,67.586,68.23,68.827,69.371,69.861,70.304,70.71,71.095,71.447,71.794,72.149,72.5,72.823,73.094,73.32,73.525,73.684,73.808,73.873,73.893,73.873,73.811,73.628,73.602,73.472,73.386,73.39,73.493,73.576,73.839,74.045,74.187,74.456,74.819,75.108,75.237,75.313,75.329,75.364,75.506,75.72,76.075,76.386,76.701,77.023,77.1,77.05,76.912,76.892,76.968,77.03,77.132,77.168,77.161,77.197,77.483,77.598,
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.81707317,70.97317073,70.94243902,70.91170732,70.88097561,70.8502439,70.8195122,70.86926829,70.91902439,70.96878049,71.01853659,71.06829268,71.45756098,71.84682927,72.23609756,72.62536585,73.01463415,73.34439024,73.67414634,74.00390244,74.33365854,74.66341463,74.90487805,75.14634146,75.38780488,75.62926829,75.87073171,76.15170732,76.43268293,76.71365854,76.99463415,77.27560976,77.37804878,77.87804878,77.87804878,77.82926829,78.07804878,78.4804878,78.63170732,78.93170732,79.23414634,79.63414634,79.93658537,80.23902439,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5,82.74878049,82.9,83.2,83.3,83.2,83.05121951,
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.58560976,69.57731707,69.3095122,69.44365854,69.92195122,69.72219512,70.04585366,69.91780488,70.05756098,69.83317073,69.91463415,70.11463415,70.46341463,71.01463415,71.01219512,71.11463415,71.56585366,71.91463415,72.01219512,72.31219512,72.46341463,72.81219512,72.96097561,73.01219512,73.61219512,73.81463415,74.31707317,74.76829268,75.21707317,75.26585366,75.56829268,75.61707317,75.81707317,76.06829268,76.4195122,76.66829268,76.87073171,77.3195122,77.67073171,77.87560976,78.12682927,78.57560976,78.67804878,78.63170732,79.1804878,79.33170732,79.8804878,80.1804878,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439,81.1902439,81.64146341,81.64390244,81.69268293,81.89512195,81.19268293,81.1902439,81.29512195,81.54146341,
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.862,51.435,52.053,52.696,53.292,53.884,54.485,55.032,55.563,56.08,56.586,57.043,57.503,57.926,58.332,58.687,59.477,59.972,60.494,60.931,61.433,61.908,62.23,62.479,62.084,62.674,62.603,62.824,62.672,62.945,62.75,62.544,60.773,61.426,60.277,61.931,62.66,62.953,63.75,64.733,65.377,66.043,66.769,67.036,67.488,67.71,68.489,68.659,69.355,69.874,70.309,70.565,71.08,71.485,71.93,72.349,72.568,72.694,73.016,73.29,70.312,70.999,74.125,74.429,
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,43.262,43.364,43.492,43.559,43.601,41.844,43.529,43.332,43.405,43,43.225,43.172,25.777,37.409,43.337,43.445,43.691,43.97,44.404,45.038,45.731,46.412,47.012,47.433,47.687,47.662,47.402,47.066,42.889,45.745,45.184,44.66,44.469,37.221,44.515,44.589,44.807,45.721,46.678,47.627,47.617,48.509,49.924,50.997,52.217,53.053,53.962,54.832,55.581,56.422,57.088,57.804,58.501,59.179,59.764,60.107,60.789,61.345,61.806,62.18,62.569,62.101,62.882,63.651,
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.70195122,70.52097561,70.2195122,70.05146341,70.75512195,70.62536585,70.70634146,71.01292683,70.69317073,70.76487805,70.97195122,71.0604878,71.40512195,71.63536585,71.98585366,71.97121951,72.1197561,72.77390244,72.69804878,73.19365854,73.20707317,73.62170732,73.88804878,73.86902439,74.40487805,74.5202439,74.73170732,75.36585366,75.56585366,75.63268293,76.05195122,76.19219512,76.35121951,76.34536585,76.69170732,76.84073171,77.18731707,77.37073171,77.47317073,77.6195122,77.72195122,77.97317073,78.07560976,78.12926829,78.87804878,78.9804878,79.3804878,79.78292683,79.6804878,80.03414634,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488,80.99268293,81.43902439,81.49268293,81.59512195,81.99512195,80.69512195,81.7902439,81.74878049,82.39756098,
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,38.775,39.233,39.643,40.081,40.502,40.971,41.274,41.759,42.182,42.591,43.029,43.391,43.928,44.435,44.876,45.405,45.952,46.504,46.941,47.362,47.747,48.122,48.493,48.845,49.399,49.959,50.632,51.258,52.019,52.45,53.02,53.441,54.137,54.612,54.988,55.366,55.648,55.986,56.154,56.336,56.594,56.654,56.851,57.092,57.346,57.738,57.966,58.249,58.099,58.258,58.387,58.462,58.559,58.863,59.008,59.123,59.283,59.528,59.71,59.888,60.154,59.61,60.475,60.774,
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,36.074,36.361,36.753,37.093,37.399,37.758,38.091,38.432,38.76,39.023,39.54,39.853,40.399,40.947,41.711,42.486,43.327,44.167,44.995,45.702,46.465,46.866,47.633,48.061,48.464,48.748,48.987,49.097,49.215,49.27,49.315,49.33,49.378,49.412,49.469,49.554,49.693,49.56,50.163,50.463,50.808,51.188,51.447,51.959,52.6,53.271,53.784,54.377,55.199,55.791,56.343,57.001,57.457,57.903,58.331,58.778,59.173,59.578,59.972,60.184,60.454,60.046,60.7,61.092,
